#{"t_start": 1689036143.3212242, "env_id": "UR5ObsReach-v1"}
r,l,t
-1654.220894,12,10.160865
-1181.703344,13,10.196539
-1266.63385,11,10.224277
-1640.563675,12,10.259832
-1786.792427,12,10.29304
-1546.83725,12,10.328605
-1074.991982,5,10.351335
-1499.858955,12,10.380948
-1398.400337,11,10.412271
-1264.892872,12,10.443551
-949.085197,5,22.860173
-914.816711,5,22.87777
-781.74514,3,22.888754
-862.293793,5,22.910851
-742.810589,5,22.927837
-828.196499,5,22.944166
-851.61367,5,22.962065
-760.847218,5,22.978332
-900.401047,5,22.995532
-993.555,5,23.012388
-921.223106,4,36.337693
-864.319853,5,36.356584
-822.308115,5,36.373578
-897.129009,5,36.389657
-776.70681,3,36.402442
-870.114208,5,36.425716
-899.459045,3,36.437068
-938.990463,3,36.455296
-954.517441,5,36.474309
-828.791656,5,36.490231
-892.500254,6,49.655442
-857.64817,6,49.687597
-873.178917,3,49.69671
-923.391479,6,49.721272
-802.571333,6,49.737246
-768.378193,6,49.754326
-668.08461,2,49.761924
-794.597382,3,49.779751
-793.47039,2,49.796847
-912.086084,6,49.8231
-934.510035,6,63.163488
-805.811874,3,63.172542
-614.867371,1,63.186755
-815.440113,6,63.213953
-620.313904,1,63.219922
-114.273178,4,63.240723
-791.749958,6,63.266842
-821.562085,6,63.297007
-941.505962,6,63.314105
-811.591883,6,63.330464
-843.190056,4,76.352245
-758.937012,4,76.369439
-751.984257,4,76.386058
-804.06813,5,76.40597
-807.319862,3,76.418157
-783.440548,5,76.440881
-866.804846,6,76.460637
-763.186344,4,76.485213
-848.932487,3,76.502945
-770.22641,3,76.518054
-718.553341,4,89.696131
-906.489227,3,89.712023
-704.416672,2,89.726932
-771.243164,4,89.74672
-748.342911,4,89.765005
-781.02063,4,89.782237
-797.484955,2,89.797159
-771.821781,4,89.813954
-774.153358,4,89.829831
-761.318512,4,89.846969
-736.750721,5,103.29466
-700.913324,4,103.307398
-752.729942,3,103.323887
-757.001755,2,103.339576
-798.748955,4,103.358339
-793.448608,2,103.371662
-770.809547,3,103.391344
-796.822281,4,103.410243
-754.064682,2,103.421433
-737.556442,5,103.443941
-729.746059,4,116.803247
-721.521755,4,116.81952
-821.984512,3,116.834924
-809.316974,5,116.857382
-821.732979,4,116.871269
-766.379417,4,116.887993
-717.920805,5,116.908571
-756.894556,5,116.925856
-798.387089,4,116.93824
-749.834023,5,116.956105
-725.972565,4,130.416221
-596.276978,1,130.427696
-781.415966,4,130.449003
-867.617706,4,130.466009
-802.783367,4,130.482938
-784.190186,5,130.504147
-737.455734,2,130.51353
-819.068413,3,130.531387
-754.301666,2,130.546552
-767.136257,4,130.567592
-786.778534,4,143.8596
-703.608902,2,143.874065
-740.940952,4,143.891829
-726.182709,2,143.906332
-746.614815,5,143.928349
-708.013966,5,143.945036
-731.993664,5,143.961193
-783.154171,5,143.9782
-837.90335,5,143.994551
-755.106216,5,144.012994
-855.949188,3,157.385396
-739.955841,3,157.402054
-731.874833,5,157.423105
-806.857025,5,157.439346
-687.583076,2,157.450371
-823.392555,3,157.469946
-790.557144,2,157.484644
-769.694538,5,157.507902
-830.796906,4,157.522646
-825.900024,5,157.542711
-746.506355,3,170.914006
-738.608484,4,170.931414
-790.75263,4,170.947635
-740.112223,5,170.967623
-761.85746,4,170.981723
-865.488297,4,170.998227
-747.486374,2,171.01216
-859.171722,3,171.032122
-599.242981,1,171.043676
-693.919243,4,171.065192
-721.379677,2,184.490725
-729.481255,3,184.508971
-740.955111,5,184.529963
-719.488998,3,184.542042
-759.082184,3,184.558481
-785.02232,5,184.579185
-741.617802,4,184.592804
-539.880653,4,184.609605
-726.123587,5,184.628974
-885.953564,5,184.645668
-706.980254,5,197.873567
-744.674957,3,197.886369
-731.963078,4,197.904316
-738.455231,3,197.919709
-767.552456,5,197.940171
-725.929689,5,197.957031
-710.776644,5,197.973575
-814.014488,4,197.989311
-828.864799,4,198.004237
-747.659946,5,198.023736
-741.739433,4,211.518546
-746.852543,4,211.535481
-710.290796,4,211.550436
-797.124115,2,211.564252
-728.015604,5,211.586866
-753.74012,3,211.599052
-726.238022,3,211.616727
-763.916029,5,211.636691
-748.180534,4,211.650083
-714.61607,5,211.669981
-749.228195,4,225.161589
-754.200565,3,225.178159
-716.539371,5,225.196916
-729.165346,5,225.213619
-756.972832,3,225.225877
-714.551179,5,225.246483
-881.258366,5,225.26339
-739.013401,4,225.277049
-736.88464,3,225.291934
-751.940536,5,225.313446
-748.019255,5,238.491584
-802.473457,5,238.507843
-813.088564,5,238.525797
-760.63954,5,238.541648
-791.261925,2,238.551703
-777.344078,3,238.57144
-716.895784,5,238.592685
-779.972054,2,238.602214
-756.098583,5,238.624058
-732.214318,5,238.641322
-706.413364,5,251.986677
-788.749283,2,251.997252
-769.309891,3,252.01528
-521.942245,4,252.03271
-748.490316,5,252.052887
-732.701718,5,252.06888
-708.964739,5,252.08538
-788.670898,3,252.09828
-793.391642,5,252.120406
-914.93956,5,252.137095
-704.01534,6,265.482387
-688.553062,5,265.496145
-875.298107,5,265.516578
-765.35778,3,265.52669
-742.764378,5,265.547796
-712.374751,6,265.568574
-800.614578,3,265.594476
-729.036013,4,265.610257
-766.742146,3,265.627237
-798.069153,2,265.642851
-775.916897,5,278.976138
-734.998283,3,278.987386
-702.20732,5,279.009047
-739.098412,4,279.021731
-749.655132,4,279.040785
-766.293827,5,279.058596
-758.130745,2,279.070138
-835.997299,3,279.089352
-755.190575,2,279.102688
-961.551361,5,279.126362
-759.435898,2,292.43194
-786.376564,2,292.450038
-805.396559,7,292.473181
-819.965874,2,292.482356
-782.251019,5,292.504421
-782.452319,5,292.520766
-725.505606,5,292.536485
-869.068672,4,292.550581
-12.873116,4,292.566814
-741.615829,3,292.583313
-871.581244,9,305.219229
-798.095046,8,305.251817
-733.493935,6,305.264987
-792.111031,3,305.276447
-865.195781,6,305.29934
-907.923227,5,305.313423
-766.066643,2,305.324054
-907.039181,10,305.353459
-737.398796,5,305.379995
-765.544271,5,305.396742
-893.592476,6,317.457849
-769.272614,3,317.469511
-730.509791,5,317.489071
-17.202405,6,317.506792
-834.043732,3,317.519716
-615.120657,5,317.541396
-785.121016,8,317.562104
-881.23106,9,317.582675
-797.907532,3,317.603554
-776.52804,5,317.6249
-797.516236,9,329.573794
-864.638654,9,329.609084
-825.84182,3,329.629994
-851.031215,9,329.655799
-816.052923,6,329.687183
-772.824089,3,329.69772
-525.460528,5,329.716583
-810.304367,9,329.73843
-59.25489,6,329.750169
-791.272455,5,329.766932
-903.785847,9,341.616393
-872.664711,6,341.62935
-784.085381,3,341.639019
-760.744282,4,341.658151
-595.060669,1,341.669492
-837.672882,3,341.678204
-861.128358,9,341.699059
-762.464737,3,341.724406
-733.016563,3,341.7406
-889.467018,7,341.764096
-781.774261,2,354.181936
-824.711121,9,354.209608
-966.747131,9,354.242376
-721.756027,2,354.248615
-892.68252,9,354.276347
-738.150528,2,354.297945
-860.275907,9,354.325691
-871.272941,8,354.34441
-887.110634,9,354.379325
-869.743738,9,354.412757
-852.011353,3,366.027486
-954.602108,9,366.057484
-890.943962,9,366.086326
-866.920246,9,366.120658
-908.816214,9,366.152514
-767.303795,3,366.161504
-804.733331,9,366.186044
-853.909046,7,366.202986
-917.944382,9,366.239212
-943.197479,9,366.274672
-845.658632,9,377.92838
-891.274132,10,377.94791
-755.568947,2,377.968563
-808.928993,3,377.987203
-95.995436,5,378.00605
-852.911524,10,378.034754
-13.650124,5,378.056867
-977.703942,9,378.079252
-837.65918,3,378.08679
-851.499666,9,378.112133
-929.097213,9,390.209111
-785.440392,8,390.237892
-783.571883,5,390.250309
-823.956904,9,390.271927
-797.294243,7,390.288208
-1023.049437,9,390.30651
-846.48336,3,390.331053
-891.427849,3,390.348483
-875.898123,9,390.372435
-933.320652,9,390.389293
-882.043516,8,402.09942
-752.351303,3,402.107353
-839.750286,8,402.13185
-96.506895,5,402.142195
-950.749413,10,402.1668
-844.138845,9,402.198992
-784.989143,4,402.208532
-750.940285,2,402.221479
-942.915718,9,402.254566
-827.341324,9,402.287541
-814.921154,7,413.806345
-869.124985,3,413.816924
-968.816889,10,413.843704
-812.358985,7,413.872935
-680.718185,2,413.881584
-784.758179,2,413.898873
-809.81288,6,413.924037
-863.011281,9,413.947078
-739.734726,3,413.96662
-628.18866,1,413.980914
-827.252484,10,425.556429
-795.984749,2,425.574677
-866.966683,9,425.601869
-833.491165,3,425.609183
-139.89292,4,425.627217
-953.279283,9,425.651709
-820.689247,9,425.668308
-819.615112,3,425.676719
-851.790118,10,425.706827
-901.618926,9,425.73645
-998.600048,10,437.399103
-792.809057,6,437.424306
-840.204267,10,437.448106
-830.92057,10,437.484092
-910.461678,10,437.518925
-843.491959,2,437.534674
-919.8382,10,437.568233
-95.131256,4,437.587859
-874.513816,9,437.612746
-874.433425,10,437.649656
-868.809703,9,449.390217
-819.78981,6,449.417037
-784.609371,8,449.437179
-796.403358,3,449.447185
-776.581448,4,449.465045
-901.051617,10,449.493137
-820.589985,5,449.517529
-784.820457,3,449.530982
-919.826663,9,449.555639
-871.733314,9,449.571732
-799.124391,5,461.192482
-827.35981,9,461.214633
-820.087427,8,461.230361
-775.490868,2,461.238568
-816.32073,8,461.265738
-932.620005,9,461.285073
-830.087685,10,461.321256
-804.190084,9,461.350115
-794.270088,2,461.370878
-785.875045,9,461.398393
-912.488242,10,473.16081
-14.49046,7,473.188146
-98.490187,6,473.205371
-873.018997,10,473.229361
-827.17669,9,473.260758
-890.265382,5,473.287859
-836.866531,3,473.299705
-827.597374,3,473.31751
-775.028555,6,473.338079
-773.00853,2,473.347826
-898.747483,10,484.805238
-921.146885,10,484.838372
-797.76424,5,484.864172
-806.098575,9,484.889026
-794.506775,2,484.907938
-743.166321,2,484.92406
-824.409021,10,484.957931
-861.455162,9,484.984422
-822.286922,7,484.999907
-807.619484,3,485.009168
-96.145744,5,496.488964
-749.898813,7,496.509912
-901.632874,3,496.520315
-846.28157,3,496.537181
-897.435112,3,496.553561
-805.327314,7,496.576592
-12.618721,4,496.586743
-931.081666,10,496.615438
-848.254684,3,496.636081
-680.134476,2,496.651117
-796.028576,5,508.24926
-791.852852,3,508.261881
-817.384087,9,508.292828
-15.90338,5,508.314364
-878.397277,10,508.34069
-812.778976,9,508.371735
-810.081467,3,508.395815
-973.53564,10,508.423703
-840.40663,10,508.456716
-821.088014,10,508.494544
-786.068466,3,519.955832
-871.279282,3,519.972451
-819.318814,7,519.997855
-814.296117,10,520.016578
-858.608688,3,520.039845
-728.909798,3,520.054829
-90.911709,8,520.078514
-755.812598,6,520.094025
-834.387887,10,520.116173
-835.19851,10,520.150115
-876.446407,10,531.642012
-754.270615,3,531.664864
-757.018265,2,531.681046
-830.199936,8,531.70632
-899.263068,10,531.727616
-840.481044,10,531.762227
-867.475918,10,531.793226
-836.62207,9,531.828152
-796.073143,3,531.84962
