#{"t_start": 1693881991.4190536, "env_id": "UR5ObsReach-v1"}
r,l,t
-8441.020252,73,10.301055
-2695.913406,20,10.340625
-2521.988804,27,10.406312
-2654.611362,24,10.469489
-9582.577782,73,10.661983
-6273.926567,57,10.78447
-2725.453674,17,10.81984
-2250.798836,18,10.853378
-2262.085876,16,10.884132
-1967.485519,21,10.928416
-1537.904053,10,21.685062
-2005.037491,17,21.729461
-1024.41391,7,21.746331
-2045.354889,16,21.776273
-1362.785362,9,21.799474
-1737.077141,13,21.839096
-1499.670204,14,21.87362
-1873.194572,14,21.912119
-1313.357643,7,21.929597
-1832.410236,17,21.96399
-1039.729286,6,34.107836
-946.217812,5,34.12232
-941.204327,5,34.139569
-962.157116,5,34.154149
-926.003742,5,34.170818
-1061.286903,5,34.187793
-962.553558,5,34.205228
-981.592163,5,34.220483
-923.251265,5,34.238941
-1206.930725,6,34.258486
-873.283245,5,47.084361
-878.894333,3,47.098076
-847.592224,4,47.114997
-896.292892,5,47.133807
-983.279255,5,47.14995
-923.679131,5,47.166664
-847.864052,5,47.184445
-919.210442,5,47.200116
-916.210476,5,47.215835
-851.76926,5,47.232526
-999.689247,5,60.21498
-848.896356,5,60.24436
-918.078327,6,60.263071
-931.417305,5,60.276992
-900.408657,5,60.292758
-962.773506,5,60.31098
-1006.196976,5,60.328113
-879.631531,5,60.343755
-945.463657,6,60.363824
-902.531178,5,60.376923
-879.563559,5,73.254816
-880.543968,5,73.27021
-904.01532,5,73.286911
-984.759449,5,73.303827
-945.797123,5,73.320544
-877.933445,5,73.337052
-933.918566,5,73.355821
-1005.43132,5,73.372172
-834.096886,5,73.390058
-877.908825,4,73.403115
-923.068657,5,86.23202
-890.253239,6,86.251884
-859.834946,5,86.266054
-941.450769,5,86.282192
-923.142181,6,86.305182
-825.32246,5,86.333825
-918.085018,5,86.348381
-889.688192,5,86.364592
-819.624481,4,86.379969
-891.570076,5,86.398602
-926.179619,5,99.195764
-930.818789,8,99.224674
-918.952385,4,99.242543
-974.703716,5,99.259472
-852.719114,5,99.277902
-865.515778,5,99.292222
-954.405571,5,99.310276
-871.11507,5,99.325491
-955.631054,5,99.343668
-1018.283615,5,99.361176
-1015.375889,7,112.063576
-914.18927,5,112.087201
-876.670527,5,112.104537
-875.405487,5,112.118739
-802.873489,4,112.134062
-929.570721,5,112.154701
-905.103649,6,112.172975
-1084.494516,9,112.192804
-960.121532,6,112.220888
-1012.583374,5,112.236253
-870.092936,5,124.848033
-828.650795,5,124.864977
-839.648228,5,124.880856
-869.991528,5,124.896747
-945.535048,5,124.914242
-961.504671,9,124.943442
-948.830936,6,124.968784
-894.527046,5,125.000115
-918.198307,5,125.015185
-863.770964,5,125.032436
-970.111195,6,138.177262
-912.940815,5,138.191495
-948.587271,10,138.218784
-867.056759,5,138.244318
-1012.20089,6,138.258518
-36.288605,4,138.272056
-897.857189,5,138.292358
-1005.334742,9,138.315928
-903.239575,10,138.350715
-938.0271,5,138.378536
-866.683159,5,150.935834
-934.92194,5,150.953732
-907.560961,6,150.971016
-850.196018,5,150.985921
-886.811378,5,151.002401
-893.124268,5,151.017719
-927.436119,5,151.036475
-921.383787,9,151.05745
-900.71505,6,151.089103
-1039.146873,9,151.109959
-1082.392982,8,163.337786
-1097.159723,10,163.378516
-902.881771,10,163.405164
-862.830669,6,163.43346
-947.436131,7,163.449346
-869.339081,5,163.463175
-925.680568,10,163.490103
-967.518994,10,163.521639
-973.725134,9,163.55516
-1082.083496,10,163.588739
-944.155254,10,175.201365
-987.552645,10,175.232215
-946.792717,8,175.260722
-1043.988874,9,175.29903
-849.079959,10,175.333072
-935.634964,8,175.36112
-907.568495,9,175.397189
-972.422752,10,175.431313
-1037.604406,9,175.461139
-901.960823,9,175.494693
-928.111744,9,186.956986
-815.334148,7,186.984939
-907.346742,10,187.005836
-1009.159127,10,187.040607
-1022.506745,10,187.075887
-1001.777065,9,187.103606
-1035.06175,9,187.120296
-949.884823,10,187.148952
-1024.448189,10,187.176138
-959.974085,10,187.205986
-961.966424,9,198.130603
-926.396307,9,198.162553
-901.190168,8,198.1801
-994.682589,10,198.21854
-1025.02087,10,198.251827
-939.070869,10,198.283749
-969.998062,10,198.316891
-843.436548,8,198.344896
-869.492871,10,198.367136
-937.25723,9,198.403674
-892.004635,9,209.322812
-913.001226,10,209.357147
-922.652561,9,209.388855
-933.416674,10,209.41279
-849.540056,6,209.435674
-933.008287,10,209.461112
-896.81974,6,209.485267
-866.952521,8,209.504676
-1030.902296,10,209.525776
-1005.994375,9,209.56227
-995.816099,10,220.62031
-960.472258,8,220.646613
-921.016104,10,220.668937
-944.365773,11,220.704014
-978.717339,10,220.734105
-1005.340982,10,220.774647
-940.790718,9,220.801592
-986.80253,10,220.83636
-226.145636,8,220.864273
-848.6065,10,220.886323
-918.765781,10,232.028027
-926.364246,11,232.062006
-895.152767,7,232.08902
-1003.24839,6,232.109771
-951.406202,9,232.143196
-911.178246,9,232.175505
-960.950659,9,232.218372
-892.925293,7,232.240769
-900.697857,7,232.255885
-911.246734,9,232.274338
-974.622658,6,243.530516
-901.074869,7,243.547776
-981.451996,8,243.566741
-854.161983,9,243.585575
-882.003479,9,243.617448
-921.578018,9,243.635707
-999.615524,6,243.667753
-899.172373,10,243.70419
-883.248508,6,243.730849
-135.285004,5,243.745111
-865.518198,7,254.974627
-944.994058,10,254.996597
-960.988112,10,255.039403
-948.431175,11,255.065225
-943.274971,6,255.091322
-907.74205,6,255.107353
-940.451761,10,255.130929
-1009.713005,6,255.159231
-895.025627,9,255.177955
-1048.470898,11,255.214654
-959.975761,6,266.502405
-842.303694,7,266.518523
-992.536572,11,266.541648
-1108.059006,10,266.5746
-875.280451,9,266.604201
-894.31188,9,266.636328
-925.81324,6,266.648817
-980.338738,11,266.67793
-939.677208,9,266.70541
-847.185318,7,266.733794
-996.2626,9,277.849757
-914.725563,9,277.880918
-981.510037,10,277.919029
-897.999758,11,277.950701
-980.240345,8,277.983248
-887.714563,7,278.01245
-905.721178,8,278.033074
-927.173416,9,278.063999
-813.324705,6,278.09133
-948.36915,10,278.116352
-923.368473,10,289.309288
-956.89481,7,289.339669
-878.350683,7,289.369652
-910.916592,9,289.394381
-989.417669,9,289.423501
-922.299133,9,289.456339
-886.699049,8,289.493693
-1050.852753,10,289.526328
-998.600803,12,289.566439
-1000.667338,10,289.595241
-932.32363,9,300.933135
-942.068083,10,300.970944
-964.396526,10,301.005972
-693.102978,7,301.031904
-891.017841,10,301.052399
