#{"t_start": 1684901672.7506187, "env_id": "UR5OriReach-v1"}
r,l,t
-419.617181,100,14.832605
-373.487722,100,15.021521
-588.095471,100,15.395205
-272.453189,100,15.566286
-158.16594,100,15.740315
-234.85265,100,15.910478
-175.301521,100,16.087665
-86.451996,100,16.26826
-210.06767,100,16.453822
-206.013155,100,16.618266
-306.449215,100,33.505226
-175.818095,100,33.678236
-312.579111,100,33.91455
-287.545471,100,34.090038
-228.532425,100,34.364998
-449.307312,100,34.558904
-330.621267,100,34.732405
-57.799278,15,34.777349
-408.551052,100,34.966014
-405.925079,100,35.308033
-257.653136,100,52.117604
-288.884997,100,52.285535
-207.197564,100,52.491476
-119.575794,100,52.658679
-189.718573,100,52.826203
-22.374253,8,52.855227
-157.15134,100,53.123353
-37.145647,6,53.153647
-169.671825,100,53.405689
-159.842297,100,53.637888
-417.295635,100,70.195273
-196.8573,100,70.382149
-208.657277,100,70.554533
-111.215717,100,70.714882
-82.21719,100,70.894592
-740.576149,100,71.069969
-163.311496,100,71.238495
-164.543625,100,71.405397
-249.874562,100,71.566006
-200.613324,100,71.754776
-306.193551,100,89.139036
-169.869435,100,89.304674
-253.564983,100,89.486226
-288.975077,100,89.660189
-491.538128,100,90.021124
-214.538959,100,90.186028
-494.498508,100,90.398626
-294.551513,100,90.580455
-249.013918,100,90.771182
-121.925559,100,90.999526
-391.107091,100,108.331561
-356.465429,100,108.551291
-384.310186,100,108.94002
-383.716119,100,109.112715
-72.942147,20,109.159913
-143.179515,100,109.383018
-211.417257,100,109.567456
-118.433884,100,109.757155
-21.934695,11,109.778442
-126.733575,100,110.013069
-35.406879,11,126.290791
-311.479612,100,126.610143
-375.914357,100,126.846213
-20.622568,5,126.871767
-194.882582,100,127.07624
-427.298776,100,127.262725
-193.670597,100,127.43558
-156.0529,100,127.600499
-202.661509,100,127.768707
-194.764837,100,127.932627
-239.836455,100,144.28112
-180.948423,100,144.454239
-284.926215,100,144.628707
-246.727072,100,144.810835
-37.488659,7,144.847822
-181.110851,100,145.03161
-429.929101,100,145.37167
-176.687397,100,145.580337
-53.420041,9,145.619636
-341.642812,100,145.82391
-31.439357,6,162.24737
-224.006574,100,162.414753
-157.924826,100,162.621252
-133.209579,100,162.804759
-219.814655,100,162.996924
-279.49074,100,163.174587
-310.862421,100,163.346954
-246.915261,100,163.515559
-190.530553,100,163.695093
-233.400756,100,163.862725
-212.170473,100,180.650179
-440.134015,100,180.872946
-350.171286,100,181.046545
-62.28637,8,181.06548
-63.045502,19,181.104795
-232.081337,100,181.293926
-48.773264,8,181.315833
-366.931271,100,181.488733
-348.763438,100,181.651987
-367.845001,100,181.868698
-218.218659,100,198.602678
-144.53136,100,198.784477
-369.286653,100,199.005958
-181.529946,100,199.181823
-202.234796,100,199.345411
-24.949836,6,199.361892
-231.263243,100,199.532203
-277.880815,100,199.700949
-359.663006,100,199.877786
-28.270815,6,199.898165
-120.875226,100,216.347935
-140.188013,100,216.53009
-395.324856,100,216.695008
-1121.765912,100,217.083743
-152.101482,100,217.269805
-213.764313,100,217.71307
-214.697071,100,217.877165
-19.015792,7,217.903291
-191.148056,100,218.120704
-155.98238,100,218.301162
-220.839742,100,234.99113
-833.881805,100,235.384088
-473.469789,100,235.554427
-200.447822,100,235.716607
-165.555133,100,235.907509
-302.171428,100,236.08562
-625.41493,100,236.26933
-22.177293,5,236.300843
-263.990783,100,236.544225
-270.3582,100,236.746115
-357.956271,100,253.469568
-201.037903,100,253.653814
-259.204004,100,253.827418
-128.68832,100,253.997772
-16.718956,4,254.020322
-279.400927,100,254.191081
-198.050908,100,254.361645
-156.86087,100,254.593513
-234.862285,100,254.772827
-171.878951,100,254.94057
-392.697722,100,271.812299
-376.90987,100,271.983701
-291.220932,100,272.154677
-149.912784,100,272.319983
-266.298888,100,272.491737
-25.345754,7,272.507352
-33.871105,9,272.527496
-186.293884,100,272.732859
-331.302967,100,273.031833
-272.678224,100,273.20713
-48.050921,14,289.808369
-218.963218,100,289.987547
-440.831187,100,290.157962
-231.02974,100,290.325079
-201.826695,100,290.484066
-157.762624,100,290.667633
-148.931681,100,290.838981
-523.339923,100,291.031749
-241.357241,100,291.218612
-79.975321,31,291.285063
-46.934104,9,308.055793
-253.195217,100,308.263638
-18.7716,5,308.289145
-25.199075,9,308.307412
-448.040226,100,308.485359
-296.046595,100,308.658409
-190.04324,100,308.844981
-22.456944,6,308.869735
-158.368592,100,309.037803
-360.401964,100,309.217132
-182.866176,100,325.956047
-193.447972,100,326.131667
-47.912246,13,326.165886
-390.0796,100,326.337607
-107.957901,100,326.509558
-120.117404,100,326.702331
-701.070294,100,326.916603
-198.693712,100,327.085465
-125.184298,100,327.252485
-52.193987,8,327.271994
-406.924719,100,344.562417
-255.370625,100,344.746456
-173.382867,100,344.920473
-190.43883,100,345.098342
-939.750331,100,345.27699
-130.544151,100,345.477412
-32.96908,6,345.512318
-185.353473,100,345.687845
-299.177381,100,345.849637
-213.737286,100,346.030484
-107.554181,100,362.897157
-122.794462,100,363.066998
-24.771596,5,363.080309
-188.280598,100,363.24615
-183.278602,100,363.414447
-128.306478,100,363.592248
-189.373054,100,363.772766
-269.307634,100,363.97151
-212.89187,100,364.154077
-308.666172,100,364.335034
-279.642442,100,381.514676
-178.758326,100,381.678276
-295.261466,100,381.892268
-33.525696,7,381.916196
-55.041373,8,381.934958
-150.259685,100,382.093765
-165.548126,100,382.286739
-438.799778,100,382.474651
-251.748281,100,382.650334
-414.44178,100,382.857448
-184.874079,100,399.983205
-169.502553,100,400.156567
-284.539511,100,400.325626
-415.593473,100,400.515431
-335.47223,100,400.68102
-161.434,100,400.847138
-10.636729,5,400.861674
-224.970536,100,401.025682
-215.437737,100,401.201057
-99.564802,100,401.372157
-347.588455,100,418.771323
-461.557311,100,418.944368
-245.805345,100,419.118752
-47.090705,8,419.155517
-261.461175,100,419.347075
-19.656747,6,419.365406
-273.719278,100,419.55759
-166.128024,100,419.728286
-415.958912,100,419.896139
-270.034564,100,420.081622
