#{"t_start": 1684835054.7685816, "env_id": "UR5OriReach-v1"}
r,l,t
-1265.0216,100,15.528961
-1474.444231,100,15.828535
-1688.671638,100,16.165395
-1181.925171,100,16.465144
-1253.367366,100,16.804737
-1645.019128,100,17.096939
-1467.376222,100,17.374491
-1564.927952,100,17.666781
-1470.677135,100,17.956645
-1727.16665,100,18.244772
-1650.120069,100,34.821894
-1422.351352,100,35.082755
-1496.507364,100,35.455274
-1310.068646,100,35.798568
-1077.980972,100,36.170757
-1267.065436,100,36.600297
-1205.468728,100,36.916154
-1310.734713,100,37.249896
-1322.71888,100,37.574606
-1381.027248,100,37.939194
-1382.603485,100,55.086749
-1248.790718,100,55.398044
-1312.083013,100,55.631647
-1459.225129,100,55.975132
-1539.960966,100,56.287952
-1244.100397,100,56.635897
-1525.862022,100,56.938451
-1696.080181,100,57.279945
-1229.920436,100,57.641577
-1681.469872,100,58.068501
-1113.793489,100,75.152764
-1302.04049,100,75.453538
-1199.069844,100,75.749719
-1345.641917,100,76.043368
-1134.989211,100,76.345151
-1405.269053,100,76.591048
-1540.695934,100,76.780071
-1515.505465,100,77.005577
-1449.716009,100,77.337241
-1637.312971,100,77.529301
-1295.151431,100,94.296333
-1174.237136,100,94.49181
-1735.215455,100,94.915128
-1631.471239,100,95.209022
-1304.238451,100,95.508643
-1548.614419,100,95.814227
-1356.027827,100,96.030019
-908.10655,100,96.3772
-1568.846401,100,96.557157
-1234.256946,100,96.743192
-1521.507531,100,113.565517
-1087.614477,100,113.917347
-1573.554844,100,114.300931
-1160.648411,100,114.657184
-1191.857043,100,114.97401
-1557.044004,100,115.303342
-1453.223286,100,115.665553
-1152.888638,100,115.887244
-1185.410706,100,116.080382
-1143.508963,100,116.397568
-1377.285809,100,133.568416
-1378.503029,100,133.829847
-1332.10025,100,134.125942
-1582.238455,100,134.39415
-1334.131572,100,134.674815
-1029.813682,100,134.933074
-1400.248848,100,135.224541
-1294.583992,100,135.536508
-1301.664064,100,135.850885
-1539.045699,100,136.168042
-1404.556151,100,152.829826
-1159.164895,100,153.085224
-1322.761025,100,153.335943
-1396.492945,100,153.645152
-1207.857606,100,153.881246
-1303.906864,100,154.209952
-1274.754259,100,154.503153
-1140.194939,100,154.853752
-1428.073872,100,155.114686
-1145.253049,100,155.449313
-1006.083658,100,172.088067
-1329.609334,100,172.423546
-1236.966334,100,172.608478
-1266.881551,100,172.915217
-1363.799183,100,173.11739
-1107.387231,100,173.427056
-1189.310394,100,173.593307
-1476.810874,100,173.874804
-1220.681406,100,174.063655
-1380.248052,100,174.366588
-1156.520821,100,190.985669
-655.598897,100,191.383935
-1023.505444,100,191.630475
-1363.827399,100,191.822845
-1463.858293,100,192.114368
-993.20431,100,192.389853
-1274.92426,100,192.586286
-1295.682473,100,192.790062
-1291.609352,100,192.961501
-1232.58561,100,193.159263
-1529.684219,100,209.766824
-974.244058,100,209.984003
-1288.586019,100,210.177333
-1269.364587,100,210.360302
-1277.491534,100,210.549414
-1385.415155,100,210.773726
-1271.161935,100,210.941334
-1401.731482,100,211.196592
-1412.774529,100,211.374714
-1352.451704,100,211.550272
-1177.528511,100,228.152936
-1257.032341,100,228.317125
-1173.494819,100,228.558996
-1449.260334,100,228.832131
-1316.18608,100,229.037235
-1218.48353,100,229.215035
-1473.763155,100,229.423317
-1355.167285,100,229.622594
-1386.310386,100,229.80431
-1485.845043,100,229.972438
-1328.03371,100,246.420542
-1274.207973,100,246.670443
-1220.558801,100,246.950499
-1394.01244,100,247.174874
-1199.664311,100,247.357368
-1285.890542,100,247.656989
-961.615992,100,247.936437
-1269.215041,100,248.176365
-1050.201028,100,248.451432
-1432.394757,100,248.642278
-920.744419,100,264.904204
-925.445786,100,265.073206
-1212.11832,100,265.264946
-1353.206573,100,265.431144
-1448.768781,100,265.662911
-1078.02848,100,265.882356
-1243.142147,100,266.080738
-1217.243689,100,266.325687
-1233.016861,100,266.52157
-1320.15251,100,266.711185
-1098.173901,100,283.271215
-1220.562092,100,283.47556
-1200.60676,100,283.717389
-1055.9597,100,283.982765
-1293.296872,100,284.167117
-1169.384763,100,284.363238
-1368.379773,100,284.529072
-1081.266178,100,284.746284
-1354.493168,100,284.92189
-819.697886,100,285.090175
-1271.251917,100,301.742631
-1451.355098,100,302.020997
-1258.581105,100,302.22068
-1369.189809,100,302.416629
-1145.513441,100,302.687556
-1281.617401,100,302.939706
-1201.69524,100,303.147871
-709.727684,100,303.338402
-1286.031559,100,303.600764
-965.225198,100,303.769249
-1528.825001,100,320.272948
-1199.065733,100,320.46571
-1094.872455,100,320.659423
-1357.441665,100,320.983545
-1354.494785,100,321.279092
-1552.497969,100,321.457051
-1168.961928,100,321.7116
-1142.649415,100,321.912599
-1134.86701,100,322.082979
-1336.293634,100,322.249522
-1266.91104,100,338.92795
-1402.744376,100,339.116852
-1286.797155,100,339.31356
-1102.191281,100,339.514554
