#{"t_start": 1695187051.7175174, "env_id": "UR5DynReach-v1"}
r,l,t
-1512.63617,10,9.016856
-1501.535864,11,9.051935
-1541.356309,10,9.083437
-1465.216624,10,9.117341
-1547.835975,10,9.152073
-1699.866202,11,9.18732
-1604.528604,10,9.217507
-1548.01089,10,9.252711
-1487.226078,10,9.283398
-1586.058623,11,9.317659
-1371.049297,10,18.191761
-1495.770939,10,18.224928
-1454.862705,9,18.258061
-1500.452878,9,18.295848
-1429.95477,9,18.323341
-1580.817,9,18.33973
-1509.46742,10,18.358404
-1709.472829,10,18.391518
-1619.627211,9,18.42282
-1716.381631,10,18.443656
-1435.965178,9,27.333922
-1507.654778,7,27.363025
-1574.564767,9,27.382324
-942.312254,4,27.391972
-1584.339576,9,27.415616
-1634.504064,8,27.431392
-1422.992217,7,27.447038
-881.856397,2,27.45447
-1475.957565,9,27.482349
-1269.283232,9,27.500296
-1211.72661,5,37.520821
-1046.988596,5,37.537744
-1051.71744,3,37.55102
-1039.392651,5,37.571388
-1121.795123,5,37.589322
-1098.931774,5,37.604665
-987.435719,5,37.621578
-1020.483783,5,37.639208
-932.801107,3,37.650779
-948.756551,5,37.675027
-1100.220435,5,47.89858
-1170.685376,5,47.914312
-974.464538,5,47.931318
-925.758206,5,47.947983
-1088.059019,5,47.963981
-1156.724009,5,47.980572
-1021.858101,5,47.997572
-1093.955372,5,48.014214
-1035.092803,5,48.031428
-882.187257,3,48.043409
-1064.217948,5,58.40955
-927.467332,5,58.426496
-925.618553,5,58.44238
-966.401318,5,58.458036
-1019.293091,5,58.47506
-972.229796,5,58.491118
-975.422405,5,58.509215
-850.226069,3,58.520414
-1077.74313,5,58.541011
-968.462667,5,58.557582
-925.360263,3,68.896371
-1034.248141,5,68.917613
-828.210149,3,68.930373
-1081.702889,5,68.950932
-701.922481,3,68.962532
-1015.996647,5,68.983828
-1057.603849,5,69.000406
-1132.605985,5,69.016912
-939.957489,5,69.033811
-1064.966692,5,69.050637
-1005.134123,5,79.426818
-779.363735,2,79.438334
-977.648313,5,79.460684
-769.197464,3,79.473142
-821.124957,3,79.489096
-1083.569436,5,79.510268
-1024.713233,5,79.526945
-968.62723,3,79.539789
-1139.653914,5,79.559808
-1127.756054,5,79.576999
-825.812165,3,89.83464
-973.430721,3,89.849487
-969.931935,5,89.870162
-1179.606856,5,89.886747
-952.95048,3,89.8986
-807.623635,3,89.915387
-1045.051577,5,89.936151
-979.824049,6,89.954882
-794.604525,3,89.96673
-1098.128892,5,89.986668
-1012.307153,3,100.391699
-1036.148458,5,100.412449
-875.366362,3,100.425644
-1134.569178,5,100.445845
-896.076409,5,100.46238
-1146.779906,5,100.479176
-1071.823011,5,100.49469
-824.965513,3,100.507929
-840.910662,3,100.524385
-1239.247394,6,100.54801
-879.636656,3,111.049695
-906.762678,5,111.07062
-1055.468334,5,111.087819
-965.32709,3,111.09968
-991.765341,5,111.121543
-1046.622743,5,111.13758
-909.604298,3,111.150101
-787.17239,3,111.166131
-941.773346,3,111.183601
-915.794942,5,111.204288
-843.286214,5,121.663918
-809.193709,3,121.675099
-917.101156,5,121.696572
-891.968563,5,121.713143
-775.016138,3,121.726619
-1002.091864,5,121.745494
-838.870844,3,121.758494
-1131.769983,5,121.779521
-838.859089,3,121.79235
-977.317995,5,121.815097
-972.892014,5,132.389942
-973.671388,5,132.405744
-784.083695,3,132.418345
-977.214951,5,132.439835
-786.667076,2,132.449754
-1047.504052,5,132.472865
-905.313084,5,132.489641
-858.713818,3,132.502372
-905.620585,3,132.51841
-1036.600855,5,132.538907
-799.727647,3,142.910763
-917.7189,5,142.931021
-1019.732118,5,142.947081
-808.004917,3,142.959695
-1062.896034,5,142.980717
-755.480972,3,142.994226
-900.283408,3,143.011383
-1010.652813,5,143.03204
-1046.295645,5,143.047563
-817.338922,3,143.059758
-940.750408,5,153.208148
-837.127548,3,153.218463
-871.487903,3,153.235599
-912.662401,3,153.251405
-938.931981,5,153.272076
-765.315353,3,153.285613
-1139.501001,6,153.308249
-980.242264,5,153.322008
-1016.816272,5,153.33865
-970.24036,5,153.355735
-1019.576756,5,163.781838
-937.863563,3,163.793319
-938.897239,5,163.814028
-902.371312,5,163.831225
-745.494724,3,163.843211
-1051.159115,5,163.864306
-876.607782,3,163.877528
-807.876976,3,163.89297
-914.004311,5,163.914929
-887.070715,5,163.931479
-863.751086,3,174.239894
-776.506439,3,174.252978
-933.308274,5,174.27328
-979.646294,5,174.289302
-845.487289,3,174.302618
-899.858727,3,174.319413
-919.657967,5,174.339691
-993.195328,5,174.355554
-813.523557,3,174.368989
-1123.865649,5,174.389306
-1200.615631,5,184.731325
-1014.778211,5,184.747957
