#{"t_start": 1697154361.7071033, "env_id": "UR5DynReach-v1"}
r,l,t
-874.015237,7,8.647094
-195.144042,10,8.666425
-106.372255,8,8.697226
-900.222275,100,8.865983
-246.428623,10,8.901374
-163.753429,9,8.931896
-115.046134,10,8.949748
-29.722805,7,8.978432
-127.159743,13,9.004493
-54.320857,7,9.029103
-846.49926,100,9.188033
-992.231444,100,9.371627
-304.375168,23,9.422845
-837.668533,100,9.596112
-739.554398,100,9.754932
-170.575872,8,9.780987
-74.217352,8,9.797646
-109.044751,7,9.812779
-301.361876,9,9.832728
-923.853635,100,9.99765
-895.93848,100,10.161527
-810.855007,3,10.174644
-163.51023,8,10.198323
-237.305039,28,10.249262
-145.660092,8,10.26481
-623.052345,2,10.272982
-786.571582,5,10.29445
-106.404533,7,10.313119
-156.43659,9,10.332944
-307.673703,10,10.353142
-295.41694,17,10.406072
-1038.821149,21,10.454891
-1513.932452,100,10.633568
-115.667286,12,10.657209
-124.938645,9,10.683583
-1083.289604,100,10.848771
-1039.125016,100,11.019792
-132.401356,9,11.050624
-204.608534,11,11.070789
-1221.092033,100,11.238135
-226.578587,11,11.270237
-1159.454882,100,11.459106
-146.372863,10,11.485344
-830.935429,100,11.672186
-94.435218,7,11.69827
-909.0733,6,11.714056
-49.644962,6,11.730265
-29.076999,8,11.749359
-78.33223,6,11.763031
-148.642497,8,11.782493
-144.854374,9,11.800468
-184.050376,8,11.815929
-94.705226,7,11.831378
-154.858836,8,11.849894
-1514.20405,100,12.029608
-530.298209,29,12.086176
-206.413442,8,12.117044
-1260.978659,100,12.305766
-957.069958,100,12.501259
-1088.367762,100,12.789768
-79.352895,7,12.816125
-116.956989,9,12.835078
-764.711743,100,12.99379
-1905.687052,100,13.195982
-154.367555,10,13.227057
-201.459887,13,13.267029
-1858.595203,100,13.465483
-1612.692483,100,13.623351
-862.317603,100,13.791633
-65.154802,7,13.816133
-50.57825,7,13.832761
-287.854423,10,13.85566
-875.495629,100,14.079476
-155.120361,8,14.103476
-51.095999,7,14.117049
-931.828593,100,14.279935
-210.477817,27,14.346257
-274.825331,14,14.379383
-140.158688,7,14.400591
-255.538102,27,14.448311
-1940.789198,100,14.614664
-120.425549,7,14.633911
-151.116503,8,14.651603
-1094.330955,100,14.81144
-321.844966,12,14.84129
-72.562197,16,14.883059
-66.209201,7,14.900795
-1223.838737,100,15.061301
-113.397529,15,15.097715
-82.687166,8,15.153489
-168.708424,7,15.17821
-181.212709,10,15.229124
-116.197266,8,15.263443
-845.837854,19,15.315209
-191.946738,8,15.337641
-294.590977,11,15.360699
-705.742641,3,15.379452
-978.726112,100,15.600639
-42.564895,11,15.629804
-248.409383,10,15.657533
-1008.008525,100,24.686438
-156.922538,8,24.710734
-884.301436,10,24.73143
-275.533439,10,24.763657
-81.51669,9,24.795484
-183.15848,9,24.812539
-223.231982,10,24.832087
-189.122678,9,24.865171
-182.101845,8,24.894369
-72.061883,7,24.909639
-1059.458522,100,25.074999
-827.264931,3,25.091758
-163.583957,8,25.112145
-241.635298,12,25.135045
-279.34209,9,25.162431
-114.804453,7,25.176764
-137.276134,8,25.19522
-128.407457,22,25.235381
-20.831138,6,25.258503
-1180.709878,100,25.435788
-95.145142,9,25.463143
-64.687832,8,25.4787
-133.712569,11,25.500898
-85.086186,7,25.526641
-94.929073,6,25.542544
-907.093899,13,25.570663
-152.50573,7,25.5937
-115.710545,8,25.611701
-1678.242029,100,25.77851
-1243.95811,100,25.942007
-160.369093,10,25.964668
-36.387973,7,25.993989
-93.523612,7,26.010407
-719.278108,4,26.024173
-1003.477054,100,26.200021
-1837.407296,100,26.372637
-136.177987,8,26.395859
-149.199925,7,26.411029
-195.178322,26,26.458127
-1786.613569,100,26.624838
-905.121742,100,26.800361
-73.279985,8,26.83154
-18.274704,5,26.842108
-14.492142,6,26.861859
-261.354052,10,26.883935
-182.511865,8,26.913387
-1023.212321,100,27.084061
-1039.881067,18,27.130433
-82.515505,8,27.146642
-176.047904,9,27.165205
-92.583195,7,27.178428
-112.521727,7,27.195129
-906.787771,9,27.215413
-145.234632,10,27.250796
-938.491573,100,27.468211
-126.999725,8,27.496903
-759.520094,12,27.520311
-160.627312,9,27.548391
-163.157768,23,27.589106
-57.1559,7,27.612511
-963.269887,18,27.647913
-470.104963,16,27.677409
-56.442221,8,27.696976
-204.175523,26,27.751602
-136.435495,8,27.780177
-1094.608914,100,27.952965
-220.949153,9,27.982596
-115.103665,8,27.997528
-30.244621,7,28.012581
-183.765327,8,28.03111
-173.298127,7,28.046871
-1374.300611,100,28.220182
-336.160307,30,28.282609
-1660.208144,100,28.455056
-858.640956,6,28.478737
-68.703735,21,28.520429
-1138.080831,100,28.706812
-783.503943,3,28.724696
-922.528923,100,28.895066
-294.483114,18,28.935609
-54.751339,7,28.963368
-66.241852,6,28.978444
-318.083743,9,28.999713
-70.661315,8,29.01478
-74.661963,8,29.031302
-1630.789464,100,29.202543
-2359.325246,100,29.383456
-1099.655845,100,29.537946
-142.65981,7,29.564529
-312.540903,9,29.583534
-129.673689,8,29.59885
-104.790024,7,29.613759
-69.348298,9,29.633252
-984.589107,30,29.687074
-30.467028,7,29.714359
-153.263315,9,29.734267
-278.386361,14,29.762205
-78.401902,12,29.792424
-1858.611905,100,30.003676
-1588.97462,100,30.193418
-103.442905,8,39.674485
-110.00027,18,39.708467
-157.416917,8,39.724403
-53.179704,7,39.7398
-156.533708,7,39.757157
-228.752739,9,39.775811
-803.823226,100,39.940037
-761.208791,4,39.953163
-156.513489,18,39.991134
-236.356069,12,40.014857
-178.15503,10,40.045267
-128.94213,10,40.078778
-152.891771,8,40.10937
-835.831354,7,40.124711
-154.394911,7,40.139644
-904.650304,100,40.309118
-112.40529,9,40.326301
-188.165302,10,40.345575
-147.195849,9,40.376455
-117.259191,9,40.393268
-168.133835,7,40.406893
-1011.530052,100,40.566931
-32.82569,11,40.597483
-888.2206,100,40.779457
-172.958305,12,40.814484
-50.767578,8,40.842024
-88.050957,8,40.858891
-182.922862,9,40.876467
-360.250215,17,40.908183
-1007.693883,7,40.926079
-822.309977,100,41.087649
-127.576331,11,41.114825
-253.181651,27,41.173392
-99.951103,6,41.189517
-284.020117,10,41.213468
-85.26301,8,41.243483
-310.775549,10,41.263327
-248.957537,27,41.325251
-269.634834,28,41.37556
-874.97819,6,41.391174
-904.626353,100,41.552098
-2605.255608,100,41.737141
-102.583052,8,41.759618
-132.58699,8,41.776196
-70.612534,8,41.79216
-177.968003,13,41.818477
-57.258709,7,41.841365
-1146.672496,100,42.017179
-87.486402,17,42.058476
-260.888185,12,42.084809
-780.05432,17,42.126008
-204.660534,11,42.147569
-863.971449,100,42.323494
-55.910072,7,42.344341
-82.131696,6,42.357518
-102.128065,17,42.38995
-635.663093,100,42.566616
-16.658091,6,42.590788
-39.144619,5,42.605706
-266.062634,13,42.639169
-216.603931,27,42.699117
-55.499991,9,42.732605
-144.910551,9,42.766255
-195.062101,10,42.801085
-362.376244,27,42.867722
0.284343,7,42.893887
-1847.057808,100,43.06187
-147.882446,8,43.076874
-879.454849,100,43.25157
-151.503293,8,43.277434
-52.069758,8,43.293697
-1072.98957,100,43.456149
-229.778585,10,43.48171
-263.235262,28,43.544441
-144.910072,15,43.572894
-194.176918,12,43.602495
-53.972157,8,43.627532
-775.636717,6,43.641829
-154.815462,10,43.665315
-229.921668,8,43.694352
-177.718524,11,43.716904
-350.136123,27,43.776234
-11.658113,10,43.79884
-236.967752,27,43.857824
-1329.515717,100,44.020141
-176.689715,9,44.045837
-215.856023,15,44.074638
-202.162122,15,44.108262
-149.230221,7,44.12648
-799.264708,100,44.302907
-159.505367,9,44.329448
-55.599059,6,44.341931
-36.667249,6,44.358906
-2242.177587,100,44.544636
-284.327401,10,44.566359
-950.093395,11,44.602146
-97.40615,6,44.626647
-733.623644,4,44.64145
-849.957607,3,44.65622
-1158.383091,100,44.868649
-88.382334,10,54.49125
-819.152187,3,54.513983
-907.911738,100,54.701393
-77.901492,8,54.72424
-137.425347,20,54.778204
-1221.493542,100,54.958261
-1126.154452,100,55.139363
-119.077043,8,55.154974
-109.982214,9,55.173587
-214.645018,28,55.238018
-1150.053551,7,55.259489
-132.639054,12,55.295529
-764.557115,100,55.467552
-500.395182,30,55.525675
-33.421999,7,55.553479
-99.264074,8,55.571683
6.713693,6,55.586868
-1832.046092,100,55.760004
-322.215424,27,55.81984
-761.134993,2,55.83046
-1573.94408,100,56.007041
-48.78539,7,56.020573
-155.381543,10,56.042931
-906.915749,100,56.223128
-527.542851,27,56.270851
-944.014914,100,56.439015
-384.003893,27,56.485838
-990.892131,6,56.504134
-788.401581,100,56.680085
-176.868887,8,56.706232
-169.403318,11,56.728185
-36.082323,8,56.756149
-31.28303,5,56.768317
-387.337389,27,56.817578
-1265.223994,100,56.99701
-111.708812,9,57.024242
-966.48569,100,57.206196
-109.251351,10,57.227109
-63.412267,7,57.254347
-907.489369,100,57.414355
-119.456254,8,57.439679
-1879.370824,100,57.612519
-1361.781499,100,57.792048
-58.691769,8,57.806813
-931.385029,100,57.973404
-1071.181222,11,57.996556
-25.526043,6,58.020621
-84.190901,8,58.040247
-166.503188,7,58.055227
-913.424893,100,58.279879
-177.149742,7,58.318298
-1336.024472,100,58.523255
-863.463738,20,58.567401
-1158.808622,100,58.758164
-1711.565673,100,58.951143
-57.019074,7,58.97428
-51.426173,7,58.996951
-32.919222,8,59.033458
-148.651119,9,59.068739
-25.040998,6,59.08964
-235.583106,20,59.134013
-866.135668,100,59.331831
-92.076853,9,59.361759
-118.178755,26,59.42477
-1060.706652,100,59.608128
-41.554508,7,59.623988
-85.405083,14,59.653202
-133.589131,11,59.684435
-290.916807,20,59.732756
-134.867968,9,59.763643
-1031.782157,100,59.963818
-99.459619,9,59.997143
-1025.626447,100,60.20299
-95.837546,9,60.22824
-1035.22674,17,60.277438
-96.432449,9,60.294856
-69.096309,12,60.334073
-897.606791,5,60.356992
-932.337495,7,60.377302
-110.102879,20,60.417647
-192.894254,9,60.447419
-1258.854428,100,60.687541
-109.248637,7,60.708892
-849.433634,6,60.724448
12.480078,6,60.741014
-915.559066,100,60.933605
-1180.964195,100,61.137456
-148.490931,10,61.167135
-237.338373,9,61.197718
-335.805037,22,61.249099
-147.03115,13,61.28572
-118.815644,9,61.311102
-147.870717,17,61.340162
-191.089878,28,61.389632
-2727.757259,100,61.564493
-97.032296,7,61.591706
-847.641098,4,61.605881
-83.631736,6,61.62388
-112.984797,28,61.676777
-123.672332,10,61.696068
-717.85079,100,71.096523
-321.932347,27,71.151838
-297.438659,9,71.171181
-885.038588,100,71.358087
-812.661985,100,71.560098
-836.94988,100,71.773381
-126.668986,8,71.803289
0.051474,8,71.820523
-1282.9769,29,71.871282
-923.207781,100,72.053558
-123.667807,12,72.077569
-268.58532,12,72.110064
-887.498456,10,72.142443
-977.618301,100,72.369022
-178.749163,9,72.390305
-1014.503881,14,72.431745
-76.639113,8,72.453709
-855.210073,9,72.472493
-982.227263,100,72.653033
-131.651941,17,72.684593
-257.810418,8,72.702428
-23.820667,6,72.716115
-1097.655928,16,72.75035
-1295.459697,100,72.942679
-265.103345,11,72.981166
-1196.454754,100,73.187593
-812.000768,100,73.346842
-146.104876,8,73.370733
-16.589713,8,73.387144
-93.139897,10,73.407731
-1126.299653,100,73.589664
-152.450153,8,73.620465
-289.243472,27,73.668909
-1357.852549,100,73.842973
-188.513783,27,73.903024
-77.002187,7,73.919274
-176.887436,9,73.939126
-296.318371,29,73.987359
-162.952244,7,74.002968
-42.30732,7,74.019326
-835.886086,100,74.193404
-328.62391,11,74.22703
-69.781628,7,74.253105
-232.306525,26,74.300976
-80.282407,7,74.320957
-1008.135659,100,74.492237
-252.756721,8,74.521242
-147.744284,9,74.540148
-34.101967,7,74.569945
-74.467755,8,74.588757
-1100.377042,18,74.6214
