#{"t_start": 1695258136.61003, "env_id": "UR5ObsReach-v1"}
r,l,t
-1726.666533,12,10.122423
-1748.591288,13,10.158003
-1689.180825,12,10.189034
-1713.72528,13,10.225436
-1461.735987,12,10.255878
-1592.640983,12,10.289167
-1448.678815,12,10.323602
-1531.254192,13,10.365286
-1416.714128,13,10.418371
-1908.113769,13,10.461134
-1099.817944,9,21.966633
-1057.454346,9,21.997048
-945.179675,3,22.019494
-977.969792,8,22.040926
-1006.216853,8,22.058513
-892.60622,6,22.072263
-952.406817,7,22.089831
-1032.327357,9,22.10961
-956.625239,6,22.138687
-944.385409,5,22.154016
-1018.08044,6,34.432458
-840.34897,3,34.443869
-842.800817,3,34.461276
-923.928444,3,34.476931
-819.690113,3,34.494484
-986.166528,6,34.516138
-803.874562,3,34.527134
-914.188581,6,34.549447
-933.805323,4,34.562449
-942.93417,6,34.583062
-1031.006435,6,47.929195
-802.513688,3,47.939314
-860.661687,3,47.95593
-860.133765,3,47.97325
-922.365837,5,47.993589
-864.1049,3,48.005561
-809.332982,3,48.022535
-858.29455,3,48.038887
-890.508734,5,48.065473
-979.365277,4,48.098289
-994.125858,5,61.971876
-842.150487,3,61.983848
-988.250615,5,62.005178
-815.662812,3,62.017508
-926.885698,5,62.038491
-1010.439486,5,62.054972
-931.706483,5,62.071362
-832.204124,5,62.08904
-827.25442,5,62.107456
-808.221537,3,62.119817
-843.859465,3,75.999804
-890.868947,5,76.017879
-793.787527,3,76.028768
-898.390572,5,76.051674
-876.923093,5,76.066983
-842.489673,3,76.078864
-851.601918,3,76.096677
-902.15284,5,76.117259
-908.615998,5,76.134677
-859.2489,4,76.147501
-764.717464,3,90.058623
-928.092823,5,90.082565
-924.785991,5,90.099009
-881.303446,3,90.110557
-862.496631,5,90.130689
-847.489118,5,90.146923
-780.353648,3,90.157218
-960.889027,5,90.178537
-903.697595,5,90.194734
-901.176082,5,90.212745
-755.52537,3,104.055547
-880.613254,5,104.077107
-772.102355,3,104.087842
-969.629127,5,104.108672
-887.366418,7,104.13224
-947.589284,7,104.15885
-872.525632,5,104.175013
-878.001048,5,104.189361
-859.238336,5,104.206887
-908.978628,5,104.223238
-844.046603,3,117.663623
-838.967402,3,117.682247
-742.899693,2,117.694988
-905.535627,6,117.719838
-882.606063,3,117.733428
-799.413957,3,117.747115
-837.527744,3,117.765187
-798.720941,3,117.779816
-850.533115,6,117.805049
-888.899512,5,117.821262
-902.874118,5,131.2951
-964.557606,6,131.314031
-883.047969,5,131.330414
-1012.779277,5,131.350745
-856.067512,3,131.358555
-857.742143,5,131.379737
-891.401151,3,131.39198
-869.155733,3,131.409121
-801.51962,3,131.424854
-960.385906,6,131.447588
-901.595917,5,144.122248
-913.172947,8,144.142949
-902.51652,7,144.159271
-934.190157,8,144.176863
-932.096961,7,144.192357
-794.139424,3,144.203686
-918.229611,6,144.229945
-912.181334,8,144.247687
-879.507556,6,144.276427
-971.973079,7,144.295945
-914.397773,5,157.035548
-866.872916,3,157.047399
-877.159261,7,157.07217
-924.972878,8,157.089276
-900.780523,8,157.130769
-812.34956,3,157.150133
-745.895368,2,157.162718
-880.855023,8,157.194561
-892.771319,5,157.219589
-936.360953,6,157.238339
-792.935991,3,169.875533
-948.226124,10,169.903904
-943.819486,8,169.931569
-965.553825,9,169.949676
-830.024567,8,169.965044
-918.40859,9,169.982908
-42.825554,5,169.99592
-945.208826,8,170.01944
-933.59135,7,170.049029
-902.036958,4,170.064675
-803.999267,3,182.351407
-885.892073,9,182.377011
-1001.787623,8,182.408973
-991.681537,11,182.432213
-904.373653,7,182.457976
-811.875803,3,182.468341
-986.151342,8,182.493649
-1035.808854,8,182.515023
-988.48346,10,182.553884
-864.608857,3,182.569028
-861.051518,9,194.487522
-727.376518,2,194.510228
-1045.092319,10,194.539748
-1000.542143,10,194.576582
-794.920274,3,194.595404
-926.339039,9,194.620349
-888.041185,3,194.629647
-979.736386,10,194.660278
-836.921911,8,194.685885
-848.334203,3,194.696516
-920.742277,8,206.746962
-762.03145,3,206.755816
-1753.800621,25,206.826351
-884.213388,8,206.850178
-1094.483937,11,206.886947
-995.256634,9,206.914583
-1020.631416,10,206.950449
-866.720514,8,206.979289
-778.88755,3,206.988899
-826.633396,3,207.006233
-1018.604742,10,218.778156
-829.377508,3,218.799304
-869.946964,3,218.818042
-885.737911,9,218.843398
-1024.540422,10,218.884017
-935.738973,8,218.910697
-845.792218,3,218.933418
-924.445997,3,218.956027
-856.963617,3,218.972134
-836.616182,3,218.986339
-821.953103,3,230.943828
-794.239392,2,230.957284
-973.543777,8,230.987598
-797.59624,9,231.020612
-796.200224,3,231.042463
-874.722743,6,231.065714
-797.107017,3,231.075721
-772.850859,2,231.090544
-855.871024,8,231.11734
-895.012252,7,231.131548
-1005.127382,8,243.427318
-1055.389532,6,243.441052
-849.688964,8,243.459947
-817.942729,3,243.469414
-837.046126,3,243.487446
-964.639345,10,243.514396
-909.458966,9,243.548749
-957.704782,8,243.581107
-948.268359,8,243.620678
-861.769022,3,243.636334
-976.995329,8,255.737281
-905.372486,8,255.75334
-1022.202933,8,255.770239
-970.086474,8,255.793204
-974.044712,9,255.828316
-890.146257,3,255.848857
-934.511435,9,255.880129
-744.278321,2,255.895721
-811.689219,3,255.913671
-958.167491,8,255.938136
-847.041683,8,268.715427
-946.181983,8,268.73307
-891.417822,6,268.762403
-981.863421,8,268.784848
-918.275089,7,268.816734
-856.461462,3,268.840215
-918.463399,9,268.865493
-805.28697,7,268.879382
-774.430212,2,268.889086
-83.464696,8,268.914809
-748.525434,3,280.583805
-966.79859,8,280.608086
-856.650188,7,280.623045
-1255.708201,14,280.653262
-837.713029,7,280.672805
-815.847431,3,280.684233
-854.974321,3,280.700068
-901.906876,7,280.72743
-780.767945,3,280.7556
-915.321542,7,280.778962
-936.127764,7,292.383646
-917.063925,9,292.402912
-990.833956,8,292.43368
-988.333241,8,292.450715
-996.611074,8,292.467918
-936.606813,12,292.491785
-781.889586,3,292.510319
-881.619235,7,292.535348
-798.078531,2,292.545742
-842.891197,8,292.578052
-1254.196628,14,304.287928
-1030.130199,9,304.314766
-1032.690908,9,304.347636
-839.583263,3,304.370084
-1100.197846,13,304.411512
-791.451282,3,304.423571
-889.881811,8,304.445363
-862.063856,7,304.461979
-846.276876,3,304.477401
-964.235547,8,304.496335
-907.866508,10,316.358542
-991.952463,8,316.38691
-930.244845,9,316.405746
-831.993756,8,316.420272
-857.334942,3,316.43048
-1027.156835,7,316.453465
-903.008311,8,316.470922
-1981.665796,43,316.552761
-870.126377,3,316.566868
-751.080127,11,316.612459
-921.176189,8,328.497609
-969.897055,8,328.514376
-779.397794,9,328.541953
-826.706644,3,328.561367
-1052.590836,8,328.587207
-1136.09803,20,328.643248
-892.866464,3,328.657802
-931.132166,7,328.680766
-827.847155,3,328.691044
-823.973154,3,328.707066
-924.461535,11,340.565323
-873.562768,3,340.583583
