#{"t_start": 1694584898.2871697, "env_id": "UR5OriReach-v1"}
r,l,t
-1447.787264,10,10.026555
-1788.720578,11,10.059882
-1514.458598,10,10.090193
-1605.703522,12,10.127069
-1745.932747,11,10.156698
-2044.320637,14,10.194548
-1272.200582,9,10.218955
-1385.742406,10,10.261494
-1889.96272,11,10.300865
-1635.487307,12,10.32678
-1081.451457,5,22.475214
-916.569445,5,22.49158
-1123.687282,5,22.508204
-1110.095883,5,22.52466
-1014.606176,5,22.542248
-1093.762958,5,22.558947
-1019.436897,5,22.57568
-1152.31845,5,22.595402
-1030.754949,5,22.611891
-1094.184847,5,22.631335
-932.570956,5,37.95636
-965.577043,5,37.972318
-1021.687352,5,37.989027
-1029.052577,5,38.005466
-966.723577,5,38.02172
-1108.676462,5,38.040544
-926.669122,5,38.054898
-1034.967646,5,38.071734
-982.744584,5,38.092219
-926.285458,5,38.127493
-996.394846,5,51.603615
-1113.312464,6,51.626621
-1126.276697,6,51.655521
-1098.277512,6,51.686713
-1035.222624,6,51.719494
-996.713387,6,51.736743
-954.796992,5,51.766301
-1036.327498,5,51.783343
-1064.609439,6,51.803976
-879.361587,5,51.837337
-860.353539,4,65.892138
-812.573197,4,65.910239
-881.037638,4,65.924979
-934.106101,4,65.941985
-927.840058,4,65.958214
-944.170877,4,65.974628
-896.044862,4,65.991546
-844.108647,4,66.008875
-936.668404,4,66.025012
-846.564338,4,66.045099
-1040.452357,5,79.155604
-930.271656,6,79.175257
-933.191978,4,79.185616
-838.763905,4,79.201689
-914.55024,4,79.218771
-951.220598,6,79.241953
-1012.605549,6,79.258638
-890.083475,6,79.278451
-1042.024531,6,79.312682
-848.600908,4,79.337307
-889.443059,5,92.600081
-870.723648,5,92.618309
-948.424974,5,92.635008
-887.523979,5,92.652828
-869.866617,5,92.668306
-898.586528,5,92.68351
-934.651118,5,92.699909
-876.039667,5,92.717036
-884.924621,5,92.736488
-877.060427,5,92.753599
-1188.403881,6,106.114984
-897.41602,5,106.127529
-967.301482,5,106.144408
-1106.176479,6,106.166335
-1066.112937,6,106.206786
-977.088114,6,106.237828
-1089.211254,6,106.26637
-973.832164,5,106.295327
-873.069868,5,106.311658
-969.367519,5,106.328765
-1132.462423,6,119.679854
-1041.066039,6,119.713394
-1010.764739,5,119.740191
-1110.029393,6,119.759672
-1040.026213,6,119.776177
-1110.82723,6,119.792779
-966.532732,5,119.805747
-1027.992465,6,119.826041
-1069.764655,6,119.8428
-1109.913382,6,119.859473
-922.036011,6,133.187279
-970.098371,6,133.203991
-1078.699008,6,133.22084
-949.09635,6,133.237266
-1055.673165,6,133.254777
-1135.635778,6,133.273717
-1048.821706,6,133.314228
-1110.94176,6,133.340979
-959.748317,6,133.371924
-1067.849966,6,133.406279
-1022.978,6,146.765572
-1028.607652,6,146.782146
-1001.309427,6,146.798638
-1125.904893,6,146.81935
-944.835045,6,146.851634
-929.762356,6,146.885954
-1167.160327,6,146.915726
-1147.250955,6,146.93224
-1012.473446,6,146.949013
-1111.531706,6,146.965521
-896.745487,6,160.309734
-1096.751623,6,160.330819
-833.334633,4,160.35477
-800.209409,4,160.37007
-817.296911,4,160.388272
-900.054413,4,160.404739
-987.859114,6,160.430163
-848.117396,5,160.456641
-855.719963,4,160.470354
-833.978159,4,160.486468
-887.894047,6,173.807364
-930.965835,6,173.840075
-949.417214,6,173.871758
-1039.730715,6,173.887887
-970.485936,6,173.904604
-951.990534,6,173.921219
-960.690267,6,173.937928
-802.791747,4,173.947986
-875.177443,5,173.967699
-904.019428,6,173.998189
-935.035618,6,187.332839
-826.765205,5,187.346705
-810.390759,5,187.363604
-955.631351,6,187.387969
-827.831512,5,187.414322
-821.559762,5,187.430053
-813.260049,5,187.448119
-983.351979,6,187.470249
-950.750825,6,187.499082
-813.003643,5,187.512139
-797.191129,5,200.873616
-814.130922,5,200.892452
-944.973054,5,200.912938
-839.309393,5,200.944263
-792.183335,5,200.960965
-867.721769,5,200.97713
-818.105425,5,200.994323
-819.653045,5,201.007378
-819.573108,5,201.023572
-886.653136,5,201.041455
-798.156799,5,214.50451
-870.790414,5,214.520714
-805.332009,5,214.537543
-895.367252,5,214.55439
-838.93649,5,214.568303
-1018.977882,5,214.58511
-790.883569,5,214.601649
-866.455084,5,214.618935
-815.914459,5,214.635886
-790.358739,5,214.651605
-831.327286,5,228.079487
-904.961735,5,228.096683
-879.385415,5,228.113066
-804.67635,5,228.131466
-863.185952,5,228.148066
-788.620092,5,228.164731
-799.817118,5,228.180055
-835.77548,5,228.199264
-821.312857,5,228.213073
-846.434311,5,228.229688
-800.968017,5,241.725773
-832.561859,5,241.743827
-823.700245,5,241.760345
-869.185038,5,241.777788
-797.929908,5,241.79124
-826.254908,5,241.807504
-811.068674,5,241.824235
-884.633561,5,241.840817
-781.54003,5,241.857722
-845.444547,5,241.874291
-906.819973,5,255.402316
-811.996283,5,255.418855
-785.552559,5,255.435992
-774.655328,5,255.452229
-812.543233,5,255.468918
-845.029837,5,255.486034
-828.026407,5,255.504179
-808.298875,5,255.520622
-860.266948,5,255.545323
-850.85357,5,255.575707
-842.03464,5,269.083241
-930.835867,5,269.099466
-792.583321,5,269.116779
-790.971774,5,269.130613
-807.276306,5,269.147369
-771.846573,5,269.163918
-916.320816,5,269.180484
-852.69221,5,269.197198
-778.340696,5,269.214018
-811.504679,5,269.230696
-787.246589,5,282.747176
-1007.537287,5,282.780911
-817.509981,5,282.81209
-814.694212,5,282.828925
-973.756449,5,282.843501
-789.352634,5,282.859691
-777.387327,5,282.876454
-790.007689,5,282.893204
-781.420823,5,282.909752
-809.922522,5,282.926957
-866.412642,5,296.439423
-769.369308,5,296.45425
-800.331304,5,296.470612
-1063.600154,6,296.492382
-756.533404,5,296.520173
-825.849146,5,296.537117
-744.021054,5,296.554283
-812.197722,5,296.570546
-795.228285,5,296.587347
-769.899188,5,296.604469
-999.673282,6,310.158177
-806.59557,5,310.18469
-801.350317,5,310.19852
-802.603487,5,310.215349
-777.633848,5,310.232147
-898.020329,5,310.248383
-881.899476,5,310.265
-833.07533,5,310.281262
-829.997405,5,310.298234
-835.664839,5,310.314804
-853.600019,5,323.810217
-888.170842,5,323.83025
-871.321213,5,323.84358
-815.537665,5,323.859755
-1066.744261,6,323.881063
-917.49689,5,323.909732
-821.423153,5,323.926466
-871.870745,5,323.943952
-796.59946,5,323.962992
-761.437319,5,323.978187
-802.756678,5,337.621084
-989.731511,6,337.64255
-747.088834,5,337.657029
-796.226642,5,337.676259
-757.22292,5,337.70751
-865.924833,5,337.723462
-786.515045,5,337.743844
-896.107322,5,337.774509
-848.004402,5,337.79012
-900.352303,5,337.805591
-740.752113,5,351.366199
-826.370314,5,351.386757
-865.354134,5,351.407093
-719.039727,5,351.433619
-748.128626,5,351.452628
-778.694319,5,351.469867
-747.413915,5,351.48636
-766.260985,5,351.500021
-893.62345,5,351.516434
-740.704634,5,351.533393
-795.967052,5,365.1784
-808.532311,5,365.196664
-874.521525,5,365.213398
-829.28557,5,365.22774
-728.683891,5,365.244532
-938.20706,5,365.260996
-841.745948,5,365.277582
-740.848446,5,365.294283
-865.727179,5,365.312592
-802.289309,5,365.335056
-817.955506,5,379.056714
-856.378642,5,379.072963
-764.919694,5,379.089911
-750.856994,5,379.106272
-847.322772,5,379.122825
-730.772662,5,379.139818
-731.034507,5,379.160238
-843.408072,5,379.177162
-710.603368,5,379.192993
-878.910545,5,379.208747
-769.997692,5,392.717646
-878.777185,5,392.73434
-876.885384,5,392.750709
-792.022132,5,392.767486
-751.824374,5,392.784228
-722.343728,5,392.800703
-780.835167,5,392.817536
-799.193513,5,392.834591
-781.497454,5,392.850655
-719.995045,5,392.867625
-854.627165,5,406.545832
-798.6989,5,406.562246
-750.167126,5,406.57885
-839.376799,5,406.595417
-815.93347,5,406.613947
-782.727162,5,406.629715
-1044.827821,5,406.646501
-814.195922,5,406.662711
-820.377654,5,406.678952
-863.581821,5,406.696257
-828.870903,5,420.373729
-820.223728,5,420.390381
-859.851327,5,420.407753
-824.960099,5,420.425317
-746.714523,5,420.440938
-920.28711,5,420.457273
-782.507719,5,420.474822
-880.88192,5,420.495855
-787.870483,5,420.524956
-731.06464,5,420.544695
-727.724154,5,434.203053
-747.924011,5,434.220331
-850.642607,5,434.23597
-709.867865,5,434.254467
-778.242999,5,434.269205
-748.588403,5,434.286001
-829.640323,5,434.302533
-843.852464,5,434.319236
-787.303636,5,434.336123
-883.174972,5,434.354011
-886.938716,5,447.983741
-775.235063,5,447.998125
-900.431701,5,448.01361
-874.258184,5,448.030377
-792.870365,5,448.048672
-819.81367,5,448.063881
-809.485398,5,448.08033
-906.751322,5,448.09691
-942.059327,5,448.113743
-846.259414,5,448.131298
-914.638214,5,461.726677
-821.664637,5,461.744441
-857.06496,5,461.75896
-818.925584,5,461.775476
-800.829656,5,461.792705
-723.963024,5,461.809156
-821.7608,5,461.825175
-785.300993,5,461.84197
-833.397869,5,461.859534
-862.428356,5,461.875168
-743.143641,5,475.638108
-851.085352,5,475.6536
-768.446765,5,475.670452
-831.219042,5,475.686775
-855.800482,5,475.703947
-793.715808,5,475.72034
-831.35377,5,475.740391
-821.375484,5,475.757964
-875.353497,5,475.772826
-838.387032,5,475.78743
-722.197832,5,489.452936
-821.825322,5,489.466089
-892.619414,5,489.482211
-767.638715,5,489.499702
-824.031329,5,489.515724
-798.224037,5,489.531735
-829.684805,5,489.548407
-806.083088,5,489.568062
-801.599267,5,489.58332
-814.038068,5,489.603889
-875.946798,5,503.327032
-799.359307,5,503.344426
-732.407378,5,503.364323
-781.737762,5,503.382489
-855.047041,5,503.411279
-709.872265,5,503.427904
-883.754109,5,503.44363
-850.922992,5,503.461832
-756.923084,5,503.477007
-1033.444607,5,503.493426
-776.440716,5,517.121798
-784.326593,5,517.138273
-927.065102,5,517.154171
-775.235027,5,517.171343
-928.317793,5,517.18811
-762.037576,5,517.206194
-763.878633,5,517.223401
-710.386383,5,517.245921
-772.377849,5,517.273395
-750.068825,5,517.291151
-870.317459,5,530.983812
-883.012734,5,530.999542
-795.785407,5,531.017083
-766.094514,5,531.034535
-781.843363,5,531.051515
-873.373142,5,531.066689
-756.833155,5,531.093172
-838.112309,5,531.121642
-878.296053,5,531.150403
-812.469875,5,531.167032
-846.170967,5,544.861333
-828.699389,5,544.87793
-836.797785,5,544.894819
-760.798083,5,544.912402
-765.398627,5,544.92978
-721.107869,5,544.947486
-807.076221,5,544.963068
-989.805063,5,544.981253
-766.726286,5,544.999148
-809.193438,5,545.013702
-823.234654,5,558.672734
-911.76504,5,558.689307
-846.96471,5,558.706064
-733.231026,5,558.724258
-810.875297,5,558.74219
-753.893206,5,558.75884
-761.431857,5,558.775677
-763.244895,5,558.791108
-817.613838,5,558.810611
