#{"t_start": 1695180664.4481833, "env_id": "UR5StaReach-v1"}
r,l,t
-1105.980091,6,10.937822
-1003.176819,4,10.965619
-1102.759993,5,10.983718
-1135.779312,6,11.003915
-1129.813616,5,11.034001
-1014.259645,4,11.048047
-1224.121925,6,11.076481
-1199.637512,5,11.108791
-1261.068665,6,11.150671
-1186.22964,6,11.177388
-1278.820529,5,25.379546
-1133.236745,5,25.395841
-1338.71908,5,25.4128
-1034.350362,5,25.428951
-933.787029,5,25.446062
-1015.347003,5,25.461614
-1101.327729,5,25.478951
-959.337491,3,25.491782
-1026.330263,5,25.513069
-1190.023029,5,25.529474
-1109.380854,5,38.724506
-1040.990173,5,38.740663
-1079.952407,5,38.757089
-1034.137373,3,38.768191
-1174.004604,5,38.791645
-1028.351849,5,38.806261
-1008.380766,5,38.823105
-1001.349738,5,38.839135
-883.129975,5,38.855663
-1169.811082,5,38.872686
-972.754217,3,52.144871
-1018.147463,5,52.166893
-1064.490923,5,52.18358
-1027.403897,5,52.200029
-1092.924196,5,52.216715
-1048.168239,5,52.233459
-914.042167,3,52.246702
-1089.918438,5,52.266629
-945.128384,5,52.283473
-1008.561439,5,52.300899
-1155.128915,5,65.344637
-822.776808,3,65.357113
-1153.779463,5,65.377895
-1224.405252,5,65.394565
-1136.773272,5,65.411851
-824.032861,5,65.428828
-855.057229,3,65.440296
-983.04658,5,65.461756
-908.670407,3,65.473671
-1076.222332,5,65.495619
-1126.46075,5,78.622091
-950.419704,4,78.636126
-801.694268,3,78.650487
-834.614009,3,78.668067
-1155.145415,5,78.689141
-1018.829354,5,78.706102
-1024.92458,5,78.722604
-1006.465197,5,78.739285
-864.86394,3,78.752022
-995.978144,5,78.77344
-871.156511,3,91.895643
-953.345798,5,91.917299
-783.47111,3,91.928044
-992.545682,5,91.952126
-917.573389,5,91.968123
-1189.734081,5,91.984298
-1045.988488,5,92.001157
-861.507486,3,92.014482
-1029.610032,5,92.035703
-991.728844,5,92.051753
-952.497418,5,104.91266
-1017.776069,5,104.92879
-799.063917,3,104.940687
-1036.577548,5,104.961923
-836.308582,5,104.979511
-1173.815353,5,104.994862
-1090.638735,5,105.011092
-1055.246348,5,105.028227
-924.268753,5,105.045308
-984.686836,5,105.061648
-768.985613,3,118.101668
-1101.182577,5,118.122133
-919.34032,5,118.140386
-1042.700564,5,118.156046
-866.252425,5,118.172607
-985.175391,5,118.189078
-874.91664,3,118.200901
-993.6339,3,118.217182
-1074.527766,5,118.238706
-819.200996,3,118.250891
-986.889855,5,131.233131
-1078.870723,5,131.249815
-1060.278739,5,131.266455
-950.285442,5,131.283629
-892.751085,3,131.295409
-938.470367,5,131.317035
-1164.480655,5,131.33326
-924.734824,3,131.347887
-880.294489,5,131.37041
-990.504632,5,131.400643
-956.049179,5,144.295246
-1052.437749,5,144.311487
-837.439295,3,144.322926
-971.50239,5,144.344898
-992.223505,3,144.356155
-953.720002,5,144.377388
-1103.035209,5,144.394471
-870.300445,5,144.412835
-799.206025,3,144.422847
-927.530608,5,144.445619
-843.788441,5,157.43922
-692.119344,3,157.450148
-1069.742611,5,157.471883
-888.316505,5,157.488928
-859.343501,3,157.501812
-768.799855,3,157.517021
-889.897532,3,157.532343
-796.859069,3,157.550455
-1012.987212,5,157.572257
-881.842117,3,157.582807
-1236.804421,5,170.667261
-969.137223,5,170.683829
-1016.391896,5,170.699981
-889.197238,5,170.717172
-1164.361018,5,170.733109
-877.142905,3,170.746306
-1056.865707,5,170.767104
-694.367115,2,170.77573
-962.517631,3,170.794684
-936.629568,5,170.816724
-1083.947357,5,183.728056
-855.397789,3,183.73841
-992.081928,3,183.754584
-1022.78821,5,183.776556
-903.414377,3,183.788684
-954.724068,5,183.810598
-889.732861,3,183.821573
-946.567508,5,183.845073
-988.038183,5,183.860451
-855.796568,5,183.876965
-1058.708191,5,196.805217
-1165.383461,5,196.821232
-1104.0135,5,196.838269
-938.659871,3,196.849555
-1081.851638,5,196.871163
-1060.5328,5,196.88823
-898.054319,5,196.904773
-995.700064,5,196.921462
-972.178465,3,196.932832
-772.918013,3,196.949898
-979.728661,5,209.866982
-1075.075799,5,209.88353
-878.297122,5,209.900204
-1091.668294,5,209.916631
-930.790562,3,209.92656
-949.535358,5,209.9486
-852.577664,3,209.961448
-994.91267,5,209.982599
-1153.252904,5,209.998632
-944.575064,3,210.010239
-932.8995,5,223.062249
-786.529581,3,223.072342
-1036.5593,5,223.094652
-924.187355,5,223.11091
-936.3258,5,223.127957
-1027.738386,5,223.144422
-1064.414954,5,223.160158
-893.892214,5,223.177704
-996.632593,5,223.193849
-1064.884683,5,223.209789
-954.82134,5,236.30432
-1016.955155,5,236.320747
-990.822195,5,236.337918
-858.267704,5,236.354076
-974.495349,5,236.371208
-1033.534416,5,236.388678
-933.028584,3,236.398673
-848.911165,5,236.42096
-788.073022,3,236.432598
-1041.535714,5,236.455007
-907.691251,3,249.612316
-920.793095,3,249.627143
-867.037842,5,249.650432
-856.828661,2,249.658647
-805.146886,3,249.677127
-943.622072,5,249.698213
-1022.285583,5,249.715461
-996.420846,5,249.7327
-840.253081,5,249.751199
-818.850411,2,249.758697
-873.787225,3,262.787727
-1083.893785,5,262.810419
-1065.697566,5,262.828516
-891.56722,5,262.843133
-940.630748,3,262.854855
-1042.638081,5,262.876993
-821.960518,3,262.887828
-870.262913,3,262.905057
-982.249715,5,262.928389
-859.105262,5,262.943238
-822.420346,3,275.999272
-1022.76843,5,276.021665
-906.279178,5,276.038109
-1131.411686,5,276.05459
-885.131196,5,276.071168
-811.937531,3,276.082721
-1180.408512,5,276.105106
-1056.184645,5,276.121121
-824.054846,3,276.132299
-939.829151,5,276.154249
-967.026824,5,289.185253
-747.811403,2,289.208046
-927.054519,5,289.232614
-1021.306931,5,289.249218
-1011.897236,5,289.265079
-917.628122,5,289.281443
-1069.770508,5,289.298681
-897.188959,5,289.315298
-868.414055,5,289.33184
-1093.277232,5,289.349163
-861.21854,5,302.292874
-865.74502,5,302.309728
-1011.840924,5,302.325508
-821.970316,2,302.335563
-935.240271,5,302.35951
-1125.231512,5,302.377935
-782.622436,3,302.38897
-1068.396515,5,302.410091
-898.481572,5,302.427572
-960.895449,5,302.445185
-846.672107,5,315.353475
-939.718808,5,315.370109
-912.073439,5,315.386711
-897.538666,3,315.39802
-735.713351,2,315.414394
-867.157608,3,315.433161
-1159.101507,5,315.453978
-988.879457,5,315.470362
-1028.940402,5,315.487648
-789.44908,3,315.499375
-870.880577,3,328.77809
-873.364606,5,328.797977
-889.265014,5,328.815974
-961.710877,5,328.831983
-902.090471,5,328.848492
-813.228575,3,328.861603
-1123.229753,5,328.881414
-928.272538,5,328.898864
-932.517851,5,328.916713
-882.386516,5,328.933132
-910.733569,5,341.893821
-901.133479,5,341.90979
-884.74634,3,341.92079
-1025.665347,5,341.942875
-890.809889,5,341.961163
-984.266892,5,341.978194
-1015.120919,5,341.994824
-945.836811,3,342.005155
-944.157891,5,342.027159
-960.285464,5,342.043986
-928.864997,5,355.286864
-785.866494,3,355.299459
-805.053109,3,355.315598
-903.551147,3,355.332367
-780.078023,3,355.348535
-1029.395997,5,355.370445
-1019.932613,6,355.388602
-878.774349,5,355.404268
-791.877183,2,355.4133
-1125.66521,5,355.437395
-1007.44056,5,368.465217
-844.207281,5,368.481237
-761.299202,2,368.490608
-863.802382,5,368.514422
-924.89534,3,368.526278
-961.765126,5,368.548346
-924.064517,5,368.564723
-798.37164,3,368.57754
-881.331128,5,368.59877
-721.410953,2,368.608804
-993.063723,5,381.725517
-974.463042,5,381.742476
-910.736861,5,381.759296
-831.426867,5,381.775535
-777.511335,3,381.78912
-838.217893,3,381.804893
-946.967337,3,381.820791
-1112.413892,5,381.841964
-925.504074,3,381.854296
-1036.229508,5,381.875467
-968.432961,5,395.054101
-841.682338,3,395.067137
-1106.012337,5,395.087326
-1024.232923,5,395.103457
-948.625556,5,395.12063
-933.856245,5,395.136841
-903.387022,5,395.153331
-1052.890714,5,395.170742
-884.272875,3,395.181938
-889.720816,5,395.20375
-864.481933,5,408.329913
-920.797178,3,408.342485
-988.158073,3,408.360042
-983.441412,5,408.381772
-1072.16695,5,408.398014
-852.513668,3,408.409563
-993.766131,5,408.431026
-930.00126,5,408.447587
-798.50813,3,408.459605
-784.844904,5,408.481278
-867.488645,5,421.609134
-851.553771,3,421.621025
-892.853662,3,421.637519
-830.55612,5,421.659053
-937.981336,5,421.675774
-950.282001,5,421.69327
-849.620077,3,421.704563
-936.254523,5,421.725886
-981.375474,5,421.742692
-769.586293,3,421.755491
-956.145656,5,434.971631
-826.995584,3,434.982825
-867.62225,5,435.004382
-895.721226,3,435.016048
-873.400394,5,435.037691
-900.143546,5,435.053422
-928.871354,3,435.065401
-939.727891,5,435.086696
-925.446567,5,435.10339
-1103.038741,5,435.120998
-948.824072,5,448.381699
-997.188803,5,448.399399
-1023.97044,5,448.414689
-959.585855,5,448.431157
-861.658576,3,448.442979
-927.105326,3,448.459816
-908.50049,5,448.482215
-873.874679,3,448.492733
-1052.446927,5,448.514745
-951.833987,5,448.531734
-999.754338,5,461.692779
-941.183224,3,461.704235
-800.493423,3,461.722156
-1021.20747,5,461.743029
-879.298885,3,461.753279
-870.226843,3,461.770846
-1067.915369,5,461.793624
-964.571092,5,461.809167
-952.6758,3,461.822243
-793.66092,2,461.836069
-949.19725,5,475.004108
-859.099786,5,475.020229
-896.328477,3,475.031704
-978.061278,5,475.053921
-879.868547,5,475.071327
-867.025614,3,475.083779
-888.005075,3,475.099581
-820.14356,3,475.115186
-839.647344,3,475.132836
-949.679605,5,475.154106
-912.932983,3,488.243485
-1154.47987,5,488.264399
-804.434937,3,488.277235
-802.586652,3,488.293804
-1115.053082,5,488.315806
-895.243651,5,488.331633
-910.850047,5,488.348538
-952.067365,3,488.35995
-1021.652088,5,488.381977
-819.9924,3,488.395803
-861.680242,3,501.537849
-1057.62581,5,501.558553
-940.920621,5,501.575574
-845.065784,5,501.592236
-988.364858,5,501.609176
-1052.721141,5,501.626291
-1016.144257,5,501.643273
-952.699389,5,501.659343
-932.795263,3,501.670604
-891.961765,5,501.692569
-812.184264,3,514.782809
-807.863954,3,514.798872
-954.060051,5,514.820297
-1102.53066,5,514.838029
-892.207462,5,514.853603
-919.981751,5,514.870616
-1006.857002,3,514.88277
-874.724681,3,514.899081
-942.312527,3,514.916205
-902.533077,3,514.934166
-975.055946,5,527.898365
-868.712436,3,527.910283
-785.094249,5,527.931647
-810.83287,3,527.94329
-934.864816,5,527.965403
-838.921368,3,527.976271
-1097.57618,8,528.006321
-835.911858,5,528.031157
-864.890073,3,528.042981
-888.358168,5,528.064597
-923.684502,5,541.125959
-901.391939,5,541.142631
-861.405209,3,541.154762
-991.326539,5,541.175723
-981.42924,5,541.194621
-850.427775,3,541.205024
-884.653751,5,541.225329
-1044.031629,6,541.245843
-866.637079,5,541.275509
-1083.826746,5,541.293175
-948.186736,5,554.387872
-888.049792,3,554.399123
-945.592803,5,554.420486
-986.668396,5,554.435794
-995.175421,5,554.453383
-995.1496,5,554.469768
-849.412863,5,554.486604
-739.861407,3,554.499351
-915.17342,5,554.520771
-1026.146683,5,554.537301
-840.194579,3,567.561408
-968.917075,5,567.582995
-1024.810889,5,567.599229
-873.299535,5,567.61427
